"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","fe80::493f:17d2:bdb8:fde3","ff02::2","ICMPv6","62","Router Solicitation"
"2","0.515807706","fe80::38ab:5ff:fe9c:cce3","ff02::2","ICMPv6","70","Router Solicitation from 3a:ab:05:9c:cc:e3"
"3","1.028335543","fe80::1ca1:eeff:fed0:37de","ff02::2","ICMPv6","70","Router Solicitation from 1e:a1:ee:d0:37:de"
"4","1.028534109","fe80::68a5:40ff:fe1c:cad1","ff02::2","ICMPv6","70","Router Solicitation from 6a:a5:40:1c:ca:d1"
"5","1.541281385","fe80::18df:41ff:fe28:184c","ff02::2","ICMPv6","70","Router Solicitation from 1a:df:41:28:18:4c"
"6","2.052566003","fe80::ec63:80ff:fe39:bc80","ff02::2","ICMPv6","70","Router Solicitation from ee:63:80:39:bc:80"
"7","2.563440246","fe80::f44e:e0ff:fe2a:2b69","ff02::2","ICMPv6","70","Router Solicitation from f6:4e:e0:2a:2b:69"
"8","2.565330938","fe80::d852:9fff:fec5:3b5d","ff02::2","ICMPv6","70","Router Solicitation from da:52:9f:c5:3b:5d"
"9","2.710707607","fe80::493f:17d2:bdb8:fde3","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"10","4.099071987","0.0.0.0","255.255.255.255","DHCP","334","DHCP Discover - Transaction ID 0x481287ed"
"11","8.781773968","f6:4e:e0:2a:2b:69","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.1"
"12","8.782289337","3a:ab:05:9c:cc:e3","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.2"
"13","8.783187051","6a:a5:40:1c:ca:d1","f6:4e:e0:2a:2b:69","ARP","42","10.0.0.7 is at 6a:a5:40:1c:ca:d1"
"14","8.783214343","10.0.0.1","10.0.0.7","TCP","74","40544  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2448097479 TSecr=0 WS=512"
"15","8.784160709","10.0.0.7","10.0.0.1","TCP","74","5201  >  40544 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2176211804 TSecr=2448097479 WS=512"
"16","8.784210883","10.0.0.1","10.0.0.7","TCP","66","40544  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2448097481 TSecr=2176211804"
"17","8.784252356","10.0.0.1","10.0.0.7","iPerf3","103","40544  >  5201 Cookie: ""u63xxvtoqcqkesgm2taibxqy52tkdvje4zfu"""
"18","8.784288980","10.0.0.7","10.0.0.1","TCP","66","5201  >  40544 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2176211805 TSecr=2448097482"
"19","8.784455830","10.0.0.7","10.0.0.1","iPerf3","67","5201  >  40544 PARAM_EXCHANGE(9)"
"20","8.784484157","10.0.0.1","10.0.0.7","TCP","66","40544  >  5201 [ACK] Seq=38 Ack=2 Win=42496 Len=0 TSval=2448097482 TSecr=2176211805"
"21","8.784632654","10.0.0.1","10.0.0.7","iPerf3","70","40544  >  5201 Next message is JSON of this length: 166"
"22","8.784715362","10.0.0.1","10.0.0.7","iPerf3/JSON","232","40544  >  5201 {""tcp"":true,""omit"":0,""time"":150,""num"":0,""blockcount"":0,""parallel"":10,""len"":131072,""bandwidth"":10000000,""pacing_timer"":1000,""congestion"":""bic"",""client_version"":""3.16""}, JSON"
"23","8.784816319","10.0.0.7","10.0.0.1","TCP","66","5201  >  40544 [ACK] Seq=2 Ack=208 Win=43520 Len=0 TSval=2176211805 TSecr=2448097482"
"24","8.784909532","10.0.0.7","10.0.0.1","iPerf3","67","5201  >  40544 CREATE_STREAMS(10)"
"25","8.784973464","10.0.0.1","10.0.0.7","TCP","74","40558  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2448097482 TSecr=0 WS=512"
"26","8.785005428","10.0.0.7","10.0.0.1","TCP","74","5201  >  40558 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2176211805 TSecr=2448097482 WS=512"
"27","8.785017657","10.0.0.1","10.0.0.7","TCP","66","40558  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2448097482 TSecr=2176211805"
"28","8.785086991","10.0.0.1","10.0.0.7","iPerf3","103","40558  >  5201 Cookie: ""u63xxvtoqcqkesgm2taibxqy52tkdvje4zfu"""
"29","8.785103154","10.0.0.7","10.0.0.1","TCP","66","5201  >  40558 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2176211805 TSecr=2448097482"
"30","8.786292933","10.0.0.1","10.0.0.7","TCP","74","40568  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2448097484 TSecr=0 WS=512"
"31","8.786320094","10.0.0.7","10.0.0.1","TCP","74","5201  >  40568 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2176211807 TSecr=2448097484 WS=512"
"32","8.786329671","10.0.0.1","10.0.0.7","TCP","66","40568  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2448097484 TSecr=2176211807"
"33","8.786349308","10.0.0.1","10.0.0.7","iPerf3","103","40568  >  5201 Cookie: ""u63xxvtoqcqkesgm2taibxqy52tkdvje4zfu"""
"34","8.786364100","10.0.0.7","10.0.0.1","TCP","66","5201  >  40568 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2176211807 TSecr=2448097484"
"35","8.787340328","10.0.0.1","10.0.0.7","TCP","74","40570  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2448097485 TSecr=0 WS=512"
"36","8.787363985","10.0.0.7","10.0.0.1","TCP","74","5201  >  40570 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2176211808 TSecr=2448097485 WS=512"
"37","8.787372047","10.0.0.1","10.0.0.7","TCP","66","40570  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2448097485 TSecr=2176211808"
"38","8.787388991","10.0.0.1","10.0.0.7","iPerf3","103","40570  >  5201 Cookie: ""u63xxvtoqcqkesgm2taibxqy52tkdvje4zfu"""
"39","8.787403080","10.0.0.7","10.0.0.1","TCP","66","5201  >  40570 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2176211808 TSecr=2448097485"
"40","8.788352897","10.0.0.1","10.0.0.7","TCP","74","40582  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2448097486 TSecr=0 WS=512"
"41","8.788374469","10.0.0.7","10.0.0.1","TCP","74","5201  >  40582 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2176211809 TSecr=2448097486 WS=512"
"42","8.788382310","10.0.0.1","10.0.0.7","TCP","66","40582  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2448097486 TSecr=2176211809"
"43","8.788399186","10.0.0.1","10.0.0.7","iPerf3","103","40582  >  5201 Cookie: ""u63xxvtoqcqkesgm2taibxqy52tkdvje4zfu"""
"44","8.788412747","10.0.0.7","10.0.0.1","TCP","66","5201  >  40582 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2176211809 TSecr=2448097486"
"45","8.789360527","10.0.0.1","10.0.0.7","TCP","74","40594  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2448097487 TSecr=0 WS=512"
"46","8.789382459","10.0.0.7","10.0.0.1","TCP","74","5201  >  40594 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2176211810 TSecr=2448097487 WS=512"
"47","8.789390423","10.0.0.1","10.0.0.7","TCP","66","40594  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2448097487 TSecr=2176211810"
"48","8.789407821","10.0.0.1","10.0.0.7","iPerf3","103","40594  >  5201 Cookie: ""u63xxvtoqcqkesgm2taibxqy52tkdvje4zfu"""
"49","8.789421761","10.0.0.7","10.0.0.1","TCP","66","5201  >  40594 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2176211810 TSecr=2448097487"
"50","8.790377339","10.0.0.1","10.0.0.7","TCP","74","40596  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2448097488 TSecr=0 WS=512"
"51","8.790398262","10.0.0.7","10.0.0.1","TCP","74","5201  >  40596 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2176211811 TSecr=2448097488 WS=512"
"52","8.790405999","10.0.0.1","10.0.0.7","TCP","66","40596  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2448097488 TSecr=2176211811"
"53","8.790422839","10.0.0.1","10.0.0.7","iPerf3","103","40596  >  5201 Cookie: ""u63xxvtoqcqkesgm2taibxqy52tkdvje4zfu"""
"54","8.790441678","10.0.0.7","10.0.0.1","TCP","66","5201  >  40596 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2176211811 TSecr=2448097488"
"55","8.791408586","10.0.0.1","10.0.0.7","TCP","74","40608  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2448097489 TSecr=0 WS=512"
"56","8.791429303","10.0.0.7","10.0.0.1","TCP","74","5201  >  40608 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2176211812 TSecr=2448097489 WS=512"
"57","8.791437336","10.0.0.1","10.0.0.7","TCP","66","40608  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2448097489 TSecr=2176211812"
"58","8.791454014","10.0.0.1","10.0.0.7","iPerf3","103","40608  >  5201 Cookie: ""u63xxvtoqcqkesgm2taibxqy52tkdvje4zfu"""
"59","8.791469175","10.0.0.7","10.0.0.1","TCP","66","5201  >  40608 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2176211812 TSecr=2448097489"
"60","8.792424047","10.0.0.1","10.0.0.7","TCP","74","40610  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2448097490 TSecr=0 WS=512"
"61","8.792445082","10.0.0.7","10.0.0.1","TCP","74","5201  >  40610 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2176211813 TSecr=2448097490 WS=512"
"62","8.792452485","10.0.0.1","10.0.0.7","TCP","66","40610  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2448097490 TSecr=2176211813"
"63","8.792469872","10.0.0.1","10.0.0.7","iPerf3","103","40610  >  5201 Cookie: ""u63xxvtoqcqkesgm2taibxqy52tkdvje4zfu"""
"64","8.792487083","10.0.0.7","10.0.0.1","TCP","66","5201  >  40610 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2176211813 TSecr=2448097490"
"65","8.793444050","10.0.0.1","10.0.0.7","TCP","74","40624  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2448097491 TSecr=0 WS=512"
"66","8.793465248","10.0.0.7","10.0.0.1","TCP","74","5201  >  40624 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2176211814 TSecr=2448097491 WS=512"
"67","8.793472590","10.0.0.1","10.0.0.7","TCP","66","40624  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2448097491 TSecr=2176211814"
"68","8.793489452","10.0.0.1","10.0.0.7","iPerf3","103","40624  >  5201 Cookie: ""u63xxvtoqcqkesgm2taibxqy52tkdvje4zfu"""
"69","8.793504580","10.0.0.7","10.0.0.1","TCP","66","5201  >  40624 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2176211814 TSecr=2448097491"
"70","8.794455262","10.0.0.1","10.0.0.7","TCP","74","40630  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2448097492 TSecr=0 WS=512"
"71","8.794475933","10.0.0.7","10.0.0.1","TCP","74","5201  >  40630 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2176211815 TSecr=2448097492 WS=512"
"72","8.794483688","10.0.0.1","10.0.0.7","TCP","66","40630  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2448097492 TSecr=2176211815"
"73","8.794500886","10.0.0.1","10.0.0.7","iPerf3","103","40630  >  5201 Cookie: ""u63xxvtoqcqkesgm2taibxqy52tkdvje4zfu"""
"74","8.794515843","10.0.0.7","10.0.0.1","TCP","66","5201  >  40630 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2176211815 TSecr=2448097492"
"75","8.795518498","10.0.0.7","10.0.0.1","iPerf3","67","5201  >  40544 TEST_START(1)"
"76","8.795550608","10.0.0.1","10.0.0.7","TCP","66","40544  >  5201 [ACK] Seq=208 Ack=4 Win=42496 Len=0 TSval=2448097493 TSecr=2176211805"
"77","8.795550597","10.0.0.7","10.0.0.1","iPerf3","67","5201  >  40544 TEST_RUNNING(2)"
"78","8.795730468","10.0.0.1","10.0.0.7","TCP","7306","40558  >  5201 [PSH, ACK] Seq=38 Ack=1 Win=42496 Len=7240 TSval=2448097493 TSecr=2176211805"
"79","8.795770885","10.0.0.7","10.0.0.1","TCP","66","5201  >  40558 [ACK] Seq=1 Ack=7278 Win=56832 Len=0 TSval=2176211816 TSecr=2448097493"
"80","8.795783353","10.0.0.1","10.0.0.7","TCP","7306","40558  >  5201 [PSH, ACK] Seq=7278 Ack=1 Win=42496 Len=7240 TSval=2448097493 TSecr=2176211805"
"81","8.795801394","10.0.0.1","10.0.0.7","TCP","7306","40568  >  5201 [PSH, ACK] Seq=38 Ack=1 Win=42496 Len=7240 TSval=2448097493 TSecr=2176211807"
"82","8.795821622","10.0.0.1","10.0.0.7","TCP","7306","40568  >  5201 [PSH, ACK] Seq=7278 Ack=1 Win=42496 Len=7240 TSval=2448097493 TSecr=2176211807"
"83","8.795852633","10.0.0.1","10.0.0.7","TCP","10202","40558  >  5201 [PSH, ACK] Seq=14518 Ack=1 Win=42496 Len=10136 TSval=2448097493 TSecr=2176211816"
"84","8.795893209","10.0.0.1","10.0.0.7","TCP","7306","40570  >  5201 [PSH, ACK] Seq=38 Ack=1 Win=42496 Len=7240 TSval=2448097493 TSecr=2176211808"
