"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","fe80::18df:41ff:fe28:184c","ff02::2","ICMPv6","70","Router Solicitation from 1a:df:41:28:18:4c"
"2","0.511281731","fe80::ec63:80ff:fe39:bc80","ff02::2","ICMPv6","70","Router Solicitation from ee:63:80:39:bc:80"
"3","1.022816742","fe80::f44e:e0ff:fe2a:2b69","ff02::2","ICMPv6","70","Router Solicitation from f6:4e:e0:2a:2b:69"
"4","1.024047573","fe80::d852:9fff:fec5:3b5d","ff02::2","ICMPv6","70","Router Solicitation from da:52:9f:c5:3b:5d"
"5","7.240783983","3a:ab:05:9c:cc:e3","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.2"
"6","7.240919489","f6:4e:e0:2a:2b:69","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.1"
"7","7.242192391","6a:a5:40:1c:ca:d1","3a:ab:05:9c:cc:e3","ARP","42","10.0.0.7 is at 6a:a5:40:1c:ca:d1"
"8","7.242210842","10.0.0.2","10.0.0.7","TCP","74","54644  >  5202 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=3125675305 TSecr=0 WS=512"
"9","7.243440062","10.0.0.7","10.0.0.2","TCP","74","5202  >  54644 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2758125867 TSecr=3125675305 WS=512"
"10","7.243484820","10.0.0.2","10.0.0.7","TCP","66","54644  >  5202 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=3125675308 TSecr=2758125867"
"11","7.243583153","10.0.0.2","10.0.0.7","TCP","103","54644  >  5202 [PSH, ACK] Seq=1 Ack=1 Win=42496 Len=37 TSval=3125675308 TSecr=2758125867"
"12","7.243625527","10.0.0.7","10.0.0.2","TCP","66","5202  >  54644 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2758125868 TSecr=3125675308"
"13","7.243739346","10.0.0.7","10.0.0.2","TCP","67","5202  >  54644 [PSH, ACK] Seq=1 Ack=38 Win=43520 Len=1 TSval=2758125868 TSecr=3125675308"
"14","7.243795717","10.0.0.2","10.0.0.7","TCP","66","54644  >  5202 [ACK] Seq=38 Ack=2 Win=42496 Len=0 TSval=3125675308 TSecr=2758125868"
"15","7.243956325","10.0.0.2","10.0.0.7","TCP","70","54644  >  5202 [PSH, ACK] Seq=38 Ack=2 Win=42496 Len=4 TSval=3125675309 TSecr=2758125868"
"16","7.243998380","10.0.0.2","10.0.0.7","TCP","232","54644  >  5202 [PSH, ACK] Seq=42 Ack=2 Win=42496 Len=166 TSval=3125675309 TSecr=2758125868"
"17","7.244025453","10.0.0.7","10.0.0.2","TCP","66","5202  >  54644 [ACK] Seq=2 Ack=208 Win=43520 Len=0 TSval=2758125869 TSecr=3125675309"
"18","7.244094252","10.0.0.7","10.0.0.2","TCP","67","5202  >  54644 [PSH, ACK] Seq=2 Ack=208 Win=43520 Len=1 TSval=2758125869 TSecr=3125675309"
"19","7.244150928","10.0.0.2","10.0.0.7","TCP","74","54658  >  5202 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=3125675309 TSecr=0 WS=512"
"20","7.244184716","10.0.0.7","10.0.0.2","TCP","74","5202  >  54658 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2758125869 TSecr=3125675309 WS=512"
"21","7.244200355","10.0.0.2","10.0.0.7","TCP","66","54658  >  5202 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=3125675309 TSecr=2758125869"
"22","7.244288270","10.0.0.2","10.0.0.7","TCP","103","54658  >  5202 [PSH, ACK] Seq=1 Ack=1 Win=42496 Len=37 TSval=3125675309 TSecr=2758125869"
"23","7.244303416","10.0.0.7","10.0.0.2","TCP","66","5202  >  54658 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2758125869 TSecr=3125675309"
"24","7.245319743","10.0.0.2","10.0.0.7","TCP","74","54662  >  5202 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=3125675310 TSecr=0 WS=512"
"25","7.245345537","10.0.0.7","10.0.0.2","TCP","74","5202  >  54662 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2758125870 TSecr=3125675310 WS=512"
"26","7.245354387","10.0.0.2","10.0.0.7","TCP","66","54662  >  5202 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=3125675310 TSecr=2758125870"
"27","7.245372906","10.0.0.2","10.0.0.7","TCP","103","54662  >  5202 [PSH, ACK] Seq=1 Ack=1 Win=42496 Len=37 TSval=3125675310 TSecr=2758125870"
"28","7.245387608","10.0.0.7","10.0.0.2","TCP","66","5202  >  54662 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2758125870 TSecr=3125675310"
"29","7.246332750","10.0.0.2","10.0.0.7","TCP","74","54674  >  5202 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=3125675311 TSecr=0 WS=512"
"30","7.246354155","10.0.0.7","10.0.0.2","TCP","74","5202  >  54674 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2758125871 TSecr=3125675311 WS=512"
"31","7.246362033","10.0.0.2","10.0.0.7","TCP","66","54674  >  5202 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=3125675311 TSecr=2758125871"
"32","7.246380075","10.0.0.2","10.0.0.7","TCP","103","54674  >  5202 [PSH, ACK] Seq=1 Ack=1 Win=42496 Len=37 TSval=3125675311 TSecr=2758125871"
