"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","fe80::8c9b:24ff:fe56:c618","ff02::2","ICMPv6","70","Router Solicitation from 8e:9b:24:56:c6:18"
"2","0.000121202","fe80::c0e2:8bff:fe29:9b9d","ff02::2","ICMPv6","70","Router Solicitation from c2:e2:8b:29:9b:9d"
"3","0.000150287","fe80::4d2:bbff:fe93:11f7","ff02::2","ICMPv6","70","Router Solicitation from 06:d2:bb:93:11:f7"
"4","0.000631177","fe80::a47f:94ff:fe2f:f1ba","ff02::2","ICMPv6","70","Router Solicitation from a6:7f:94:2f:f1:ba"
"5","0.592534317","fe80::493f:17d2:bdb8:fde3","ff02::2","ICMPv6","62","Router Solicitation"
"6","1.023717749","fe80::ace2:9cff:fe09:3d49","ff02::2","ICMPv6","70","Router Solicitation from ae:e2:9c:09:3d:49"
"7","1.536265500","fe80::98f8:aff:fe1a:586c","ff02::2","ICMPv6","70","Router Solicitation from 9a:f8:0a:1a:58:6c"
"8","1.938562256","fe80::493f:17d2:bdb8:fde3","ff02::fb","MDNS","203","Standard query 0x0000 PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question"
"9","2.047569010","fe80::1014:2ff:fef9:2f85","ff02::2","ICMPv6","70","Router Solicitation from 12:14:02:f9:2f:85"
"10","2.534522180","0.0.0.0","255.255.255.255","DHCP","334","DHCP Discover - Transaction ID 0x5cfa06d0"
"11","8.828421431","9a:f8:0a:1a:58:6c","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.1"
"12","8.828736469","12:14:02:f9:2f:85","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.2"
"13","8.829038687","a6:7f:94:2f:f1:ba","9a:f8:0a:1a:58:6c","ARP","42","10.0.0.7 is at a6:7f:94:2f:f1:ba"
"14","8.829045493","10.0.0.1","10.0.0.7","TCP","74","50820  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2448808186 TSecr=0 WS=512"
"15","8.829285830","10.0.0.7","10.0.0.1","TCP","74","5201  >  50820 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2176922509 TSecr=2448808186 WS=512"
"16","8.829303333","10.0.0.1","10.0.0.7","TCP","66","50820  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2448808187 TSecr=2176922509"
"17","8.829322434","10.0.0.1","10.0.0.7","iPerf3","103","50820  >  5201 Cookie: ""pk3j3ftk55w32msqsakkuxzroduzvlkq3lea"""
"18","8.829335038","10.0.0.7","10.0.0.1","TCP","66","5201  >  50820 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2176922510 TSecr=2448808187"
"19","8.829399815","10.0.0.7","10.0.0.1","iPerf3","67","5201  >  50820 PARAM_EXCHANGE(9)"
"20","8.829410859","10.0.0.1","10.0.0.7","TCP","66","50820  >  5201 [ACK] Seq=38 Ack=2 Win=42496 Len=0 TSval=2448808187 TSecr=2176922510"
"21","8.829441068","10.0.0.1","10.0.0.7","iPerf3","70","50820  >  5201 Next message is JSON of this length: 172"
"22","8.829457517","10.0.0.1","10.0.0.7","iPerf3/JSON","238","50820  >  5201 {""tcp"":true,""omit"":0,""time"":150,""num"":0,""blockcount"":0,""parallel"":10,""len"":131072,""bandwidth"":10000000,""pacing_timer"":1000,""congestion"":""highspeed"",""client_version"":""3.16""}, JSON"
"23","8.829479604","10.0.0.7","10.0.0.1","TCP","66","5201  >  50820 [ACK] Seq=2 Ack=214 Win=43520 Len=0 TSval=2176922510 TSecr=2448808187"
"24","8.829530713","10.0.0.7","10.0.0.1","iPerf3","67","5201  >  50820 CREATE_STREAMS(10)"
"25","8.829580230","10.0.0.1","10.0.0.7","TCP","74","50830  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2448808187 TSecr=0 WS=512"
"26","8.829603816","10.0.0.7","10.0.0.1","TCP","74","5201  >  50830 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2176922510 TSecr=2448808187 WS=512"
"27","8.829615542","10.0.0.1","10.0.0.7","TCP","66","50830  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2448808187 TSecr=2176922510"
"28","8.829635546","10.0.0.1","10.0.0.7","iPerf3","103","50830  >  5201 Cookie: ""pk3j3ftk55w32msqsakkuxzroduzvlkq3lea"""
"29","8.829648409","10.0.0.7","10.0.0.1","TCP","66","5201  >  50830 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2176922510 TSecr=2448808187"
"30","8.830746685","10.0.0.1","10.0.0.7","TCP","74","50836  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2448808188 TSecr=0 WS=512"
"31","8.830781700","10.0.0.7","10.0.0.1","TCP","74","5201  >  50836 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2176922511 TSecr=2448808188 WS=512"
"32","8.830796408","10.0.0.1","10.0.0.7","TCP","66","50836  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2448808188 TSecr=2176922511"
"33","8.830825689","10.0.0.1","10.0.0.7","iPerf3","103","50836  >  5201 Cookie: ""pk3j3ftk55w32msqsakkuxzroduzvlkq3lea"""
"34","8.830857696","10.0.0.7","10.0.0.1","TCP","66","5201  >  50836 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2176922511 TSecr=2448808188"
"35","8.831468026","10.0.0.1","10.0.0.7","TCP","74","50848  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2448808189 TSecr=0 WS=512"
"36","8.831490180","10.0.0.7","10.0.0.1","TCP","74","5201  >  50848 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2176922512 TSecr=2448808189 WS=512"
"37","8.831498629","10.0.0.1","10.0.0.7","TCP","66","50848  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2448808189 TSecr=2176922512"
