"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","fe80::493f:17d2:bdb8:fde3","ff02::2","ICMPv6","62","Router Solicitation"
"2","0.019877907","fe80::6c1c:b2ff:fed8:259d","ff02::2","ICMPv6","70","Router Solicitation from 6e:1c:b2:d8:25:9d"
"3","0.020713890","fe80::b05b:75ff:fef9:febb","ff02::2","ICMPv6","70","Router Solicitation from b2:5b:75:f9:fe:bb"
"4","0.021040808","fe80::60af:57ff:fe6f:e2aa","ff02::2","ICMPv6","70","Router Solicitation from 62:af:57:6f:e2:aa"
"5","1.045148859","fe80::384e:dbff:fec7:a511","ff02::2","ICMPv6","70","Router Solicitation from 3a:4e:db:c7:a5:11"
"6","1.045366013","fe80::6811:16ff:fe8a:3f4d","ff02::2","ICMPv6","70","Router Solicitation from 6a:11:16:8a:3f:4d"
"7","1.557634831","fe80::8c57:aaff:fe10:4b25","ff02::2","ICMPv6","70","Router Solicitation from 8e:57:aa:10:4b:25"
"8","2.068934476","fe80::ac76:4cff:fedc:e9ac","ff02::2","ICMPv6","70","Router Solicitation from ae:76:4c:dc:e9:ac"
"9","2.140663468","fe80::493f:17d2:bdb8:fde3","ff02::fb","MDNS","203","Standard query 0x0000 PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question"
"10","3.302430419","0.0.0.0","255.255.255.255","DHCP","334","DHCP Discover - Transaction ID 0x9595472c"
"11","5.559425026","6e:1c:b2:d8:25:9d","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.1"
"12","5.560013533","b2:5b:75:f9:fe:bb","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.3"
"13","5.560424449","62:af:57:6f:e2:aa","6e:1c:b2:d8:25:9d","ARP","42","10.0.0.7 is at 62:af:57:6f:e2:aa"
"14","5.560435267","10.0.0.1","10.0.0.7","TCP","74","52814  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2449757728 TSecr=0 WS=512"
"15","5.560872650","10.0.0.7","10.0.0.1","TCP","74","5201  >  52814 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2177872052 TSecr=2449757728 WS=512"
"16","5.560902580","10.0.0.1","10.0.0.7","TCP","66","52814  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2449757730 TSecr=2177872052"
"17","5.560937801","10.0.0.1","10.0.0.7","iPerf3","103","52814  >  5201 Cookie: ""fe465yrq64exbucu5zzdxqomtpxhdkq6b3dv"""
"18","5.560968550","10.0.0.7","10.0.0.1","TCP","66","5201  >  52814 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2177872053 TSecr=2449757730"
"19","5.561017262","10.0.0.7","10.0.0.1","iPerf3","67","5201  >  52814 PARAM_EXCHANGE(9)"
"20","5.561034259","10.0.0.1","10.0.0.7","TCP","66","52814  >  5201 [ACK] Seq=38 Ack=2 Win=42496 Len=0 TSval=2449757730 TSecr=2177872053"
"21","5.561071616","10.0.0.1","10.0.0.7","iPerf3","70","52814  >  5201 Next message is JSON of this length: 166"
"22","5.561096028","10.0.0.1","10.0.0.7","iPerf3/JSON","232","52814  >  5201 {""tcp"":true,""omit"":0,""time"":150,""num"":0,""blockcount"":0,""parallel"":10,""len"":131072,""bandwidth"":10000000,""pacing_timer"":1000,""congestion"":""bic"",""client_version"":""3.16""}, JSON"
"23","5.561128104","10.0.0.7","10.0.0.1","TCP","66","5201  >  52814 [ACK] Seq=2 Ack=208 Win=43520 Len=0 TSval=2177872053 TSecr=2449757730"
"24","5.561198857","10.0.0.7","10.0.0.1","iPerf3","67","5201  >  52814 CREATE_STREAMS(10)"
"25","5.561258759","10.0.0.1","10.0.0.7","TCP","74","52818  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2449757730 TSecr=0 WS=512"
"26","5.561293794","10.0.0.7","10.0.0.1","TCP","74","5201  >  52818 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2177872053 TSecr=2449757730 WS=512"
"27","5.561311123","10.0.0.1","10.0.0.7","TCP","66","52818  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2449757730 TSecr=2177872053"
