"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","fe80::14e3:8ff:fe06:5c1","ff02::2","ICMPv6","70","Router Solicitation from 16:e3:08:06:05:c1"
"2","0.000695052","fe80::fcdf:a0ff:fe11:b7d6","ff02::2","ICMPv6","70","Router Solicitation from fe:df:a0:11:b7:d6"
"3","0.000799316","fe80::eca6:f2ff:fe59:c53f","ff02::2","ICMPv6","70","Router Solicitation from ee:a6:f2:59:c5:3f"
"4","1.024337237","fe80::44b5:6eff:fefe:1144","ff02::2","ICMPv6","70","Router Solicitation from 46:b5:6e:fe:11:44"
"5","1.535954506","fe80::5c1e:d5ff:fea5:af24","ff02::2","ICMPv6","70","Router Solicitation from 5e:1e:d5:a5:af:24"
"6","1.535894633","fe80::54c1:d7ff:fedf:66d2","ff02::2","ICMPv6","70","Router Solicitation from 56:c1:d7:df:66:d2"
"7","1.536054039","fe80::9ca4:1ff:fe97:6318","ff02::2","ICMPv6","70","Router Solicitation from 9e:a4:01:97:63:18"
"8","4.281183637","56:c1:d7:df:66:d2","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.3"
"9","4.281700018","fe:df:a0:11:b7:d6","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.1"
"10","4.282037118","46:b5:6e:fe:11:44","56:c1:d7:df:66:d2","ARP","42","10.0.0.7 is at 46:b5:6e:fe:11:44"
"11","4.282046841","10.0.0.3","10.0.0.7","TCP","74","43242  >  5202 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=3233678851 TSecr=0 WS=512"
"12","4.282717965","10.0.0.7","10.0.0.3","TCP","74","5202  >  43242 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=3469907488 TSecr=3233678851 WS=512"
"13","4.282757892","10.0.0.3","10.0.0.7","TCP","66","43242  >  5202 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=3233678853 TSecr=3469907488"
"14","4.282832569","10.0.0.3","10.0.0.7","TCP","103","43242  >  5202 [PSH, ACK] Seq=1 Ack=1 Win=42496 Len=37 TSval=3233678853 TSecr=3469907488"
"15","4.282865840","10.0.0.7","10.0.0.3","TCP","66","5202  >  43242 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=3469907489 TSecr=3233678853"
"16","4.282907495","10.0.0.7","10.0.0.3","TCP","67","5202  >  43242 [PSH, ACK] Seq=1 Ack=38 Win=43520 Len=1 TSval=3469907489 TSecr=3233678853"
"17","4.282922313","10.0.0.3","10.0.0.7","TCP","66","43242  >  5202 [ACK] Seq=38 Ack=2 Win=42496 Len=0 TSval=3233678853 TSecr=3469907489"
