"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","fe80::7c1b:3ff:fe5e:2557","ff02::2","ICMPv6","70","Router Solicitation from 7e:1b:03:5e:25:57"
"2","1.024751646","fe80::2436:dfff:fe61:42e4","ff02::2","ICMPv6","70","Router Solicitation from 26:36:df:61:42:e4"
"3","1.537224133","fe80::b483:f3ff:fe17:efa3","ff02::2","ICMPv6","70","Router Solicitation from b6:83:f3:17:ef:a3"
"4","4.608512136","7e:1b:03:5e:25:57","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.3"
"5","4.609165482","32:db:da:d1:b0:d2","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.1"
"6","4.609662893","b6:83:f3:17:ef:a3","7e:1b:03:5e:25:57","ARP","42","10.0.0.7 is at b6:83:f3:17:ef:a3"
"7","4.609676322","10.0.0.3","10.0.0.7","TCP","74","35512  >  5202 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=3234469194 TSecr=0 WS=512"
"8","4.609695841","ba:72:9b:67:16:1f","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.4"
"9","4.610251452","10.0.0.7","10.0.0.3","TCP","74","5202  >  35512 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=3470697832 TSecr=3234469194 WS=512"
"10","4.610290469","10.0.0.3","10.0.0.7","TCP","66","35512  >  5202 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=3234469196 TSecr=3470697832"
"11","4.610324765","10.0.0.3","10.0.0.7","TCP","103","35512  >  5202 [PSH, ACK] Seq=1 Ack=1 Win=42496 Len=37 TSval=3234469196 TSecr=3470697832"
"12","4.610357972","10.0.0.7","10.0.0.3","TCP","66","5202  >  35512 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=3470697832 TSecr=3234469196"
"13","4.610461382","10.0.0.7","10.0.0.3","TCP","67","5202  >  35512 [PSH, ACK] Seq=1 Ack=38 Win=43520 Len=1 TSval=3470697832 TSecr=3234469196"
"14","4.610484927","10.0.0.3","10.0.0.7","TCP","66","35512  >  5202 [ACK] Seq=38 Ack=2 Win=42496 Len=0 TSval=3234469196 TSecr=3470697832"
"15","4.610548638","10.0.0.3","10.0.0.7","TCP","70","35512  >  5202 [PSH, ACK] Seq=38 Ack=2 Win=42496 Len=4 TSval=3234469196 TSecr=3470697832"
"16","4.610579089","10.0.0.3","10.0.0.7","TCP","232","35512  >  5202 [PSH, ACK] Seq=42 Ack=2 Win=42496 Len=166 TSval=3234469196 TSecr=3470697832"
"17","4.610639516","10.0.0.7","10.0.0.3","TCP","66","5202  >  35512 [ACK] Seq=2 Ack=208 Win=43520 Len=0 TSval=3470697832 TSecr=3234469196"
"18","4.610693420","10.0.0.7","10.0.0.3","TCP","67","5202  >  35512 [PSH, ACK] Seq=2 Ack=208 Win=43520 Len=1 TSval=3470697832 TSecr=3234469196"
"19","4.610774222","10.0.0.3","10.0.0.7","TCP","74","35524  >  5202 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=3234469196 TSecr=0 WS=512"
"20","4.610816648","10.0.0.7","10.0.0.3","TCP","74","5202  >  35524 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=3470697832 TSecr=3234469196 WS=512"
"21","4.610849718","10.0.0.3","10.0.0.7","TCP","66","35524  >  5202 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=3234469196 TSecr=3470697832"
"22","4.610893942","10.0.0.3","10.0.0.7","TCP","103","35524  >  5202 [PSH, ACK] Seq=1 Ack=1 Win=42496 Len=37 TSval=3234469197 TSecr=3470697832"
"23","4.610925152","10.0.0.7","10.0.0.3","TCP","66","5202  >  35524 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=3470697833 TSecr=3234469197"
"24","4.617768078","10.0.0.3","10.0.0.7","TCP","74","35532  >  5202 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=3234469203 TSecr=0 WS=512"
"25","4.617803962","10.0.0.7","10.0.0.3","TCP","74","5202  >  35532 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=3470697839 TSecr=3234469203 WS=512"
"26","4.617818911","10.0.0.3","10.0.0.7","TCP","66","35532  >  5202 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=3234469203 TSecr=3470697839"
"27","4.617904919","10.0.0.3","10.0.0.7","TCP","103","35532  >  5202 [PSH, ACK] Seq=1 Ack=1 Win=42496 Len=37 TSval=3234469204 TSecr=3470697839"
"28","4.617919809","10.0.0.7","10.0.0.3","TCP","66","5202  >  35532 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=3470697840 TSecr=3234469204"
