"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","fe80::d8da:95ff:fec1:6de5","ff02::2","ICMPv6","70","Router Solicitation from da:da:95:c1:6d:e5"
"2","0.511094914","fe80::6cd1:43ff:fead:975a","ff02::2","ICMPv6","70","Router Solicitation from 6e:d1:43:ad:97:5a"
"3","0.511270138","fe80::a03e:74ff:fe26:ebfb","ff02::2","ICMPv6","70","Router Solicitation from a2:3e:74:26:eb:fb"
"4","0.511949444","fe80::a4e1:aaff:fe29:2a15","ff02::2","ICMPv6","70","Router Solicitation from a6:e1:aa:29:2a:15"
"5","0.512049036","fe80::e0a2:14ff:fe9f:8e34","ff02::2","ICMPv6","70","Router Solicitation from e2:a2:14:9f:8e:34"
"6","0.816316825","fe80::493f:17d2:bdb8:fde3","ff02::2","ICMPv6","62","Router Solicitation"
"7","1.534658643","fe80::d0d8:28ff:fea5:3759","ff02::2","ICMPv6","70","Router Solicitation from d2:d8:28:a5:37:59"
"8","1.535014394","fe80::3c5b:8bff:fea6:dffb","ff02::2","ICMPv6","70","Router Solicitation from 3e:5b:8b:a6:df:fb"
"9","2.114824586","fe80::493f:17d2:bdb8:fde3","ff02::fb","MDNS","203","Standard query 0x0000 PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question"
"10","3.275022270","0.0.0.0","255.255.255.255","DHCP","334","DHCP Discover - Transaction ID 0xa3555a83"
"11","7.547430152","d2:d8:28:a5:37:59","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.1"
"12","7.548262219","a6:e1:aa:29:2a:15","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.3"
"13","7.548464987","a2:3e:74:26:eb:fb","Broadcast","ARP","42","Who has 10.0.0.7? Tell 10.0.0.4"
"14","7.549060810","e2:a2:14:9f:8e:34","d2:d8:28:a5:37:59","ARP","42","10.0.0.7 is at e2:a2:14:9f:8e:34"
"15","7.549080561","10.0.0.1","10.0.0.7","TCP","74","38228  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2451333113 TSecr=0 WS=512"
"16","7.550125738","10.0.0.7","10.0.0.1","TCP","74","5201  >  38228 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2179447439 TSecr=2451333113 WS=512"
"17","7.550152479","10.0.0.1","10.0.0.7","TCP","66","38228  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2451333116 TSecr=2179447439"
"18","7.550242394","10.0.0.1","10.0.0.7","iPerf3","103","38228  >  5201 Cookie: ""7zfbt63yev5diomafvzelj34ixq6qrjas24v"""
"19","7.550286830","10.0.0.7","10.0.0.1","TCP","66","5201  >  38228 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2179447439 TSecr=2451333116"
