"No.","Time","Source","Destination","Protocol","Length","Info"
"11","3.293405997","127.0.0.1","127.0.0.1","TCP","74","51240  >  5001 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=1026250886 TSecr=0 WS=128"
"12","3.293430286","127.0.0.1","127.0.0.1","TCP","74","5001  >  51240 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=1026250886 TSecr=1026250886 WS=128"
"13","3.293451408","127.0.0.1","127.0.0.1","TCP","66","51240  >  5001 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=1026250886 TSecr=1026250886"
"14","3.293549838","127.0.0.1","127.0.0.1","TCP","106","51240  >  5001 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=40 TSval=1026250886 TSecr=1026250886"
"15","3.293557299","127.0.0.1","127.0.0.1","TCP","66","5001  >  51240 [ACK] Seq=1 Ack=41 Win=65536 Len=0 TSval=1026250886 TSecr=1026250886"
"24","4.293939692","127.0.0.1","127.0.0.1","TCP","106","51240  >  5001 [PSH, ACK] Seq=41 Ack=1 Win=65536 Len=40 TSval=1026251886 TSecr=1026250886"
"25","4.293989458","127.0.0.1","127.0.0.1","TCP","66","5001  >  51240 [ACK] Seq=1 Ack=81 Win=65536 Len=0 TSval=1026251887 TSecr=1026251886"
"34","5.294320007","127.0.0.1","127.0.0.1","TCP","106","51240  >  5001 [PSH, ACK] Seq=81 Ack=1 Win=65536 Len=40 TSval=1026252887 TSecr=1026251887"
"35","5.294349573","127.0.0.1","127.0.0.1","TCP","66","5001  >  51240 [ACK] Seq=1 Ack=121 Win=65536 Len=0 TSval=1026252887 TSecr=1026252887"
"37","6.294614046","127.0.0.1","127.0.0.1","TCP","106","51240  >  5001 [PSH, ACK] Seq=121 Ack=1 Win=65536 Len=40 TSval=1026253887 TSecr=1026252887"
"38","6.294636264","127.0.0.1","127.0.0.1","TCP","66","5001  >  51240 [ACK] Seq=1 Ack=161 Win=65536 Len=0 TSval=1026253887 TSecr=1026253887"
"39","7.294891070","127.0.0.1","127.0.0.1","TCP","106","51240  >  5001 [PSH, ACK] Seq=161 Ack=1 Win=65536 Len=40 TSval=1026254887 TSecr=1026253887"
"40","7.294916810","127.0.0.1","127.0.0.1","TCP","66","5001  >  51240 [ACK] Seq=1 Ack=201 Win=65536 Len=0 TSval=1026254887 TSecr=1026254887"
"45","8.295181791","127.0.0.1","127.0.0.1","TCP","106","51240  >  5001 [PSH, ACK] Seq=201 Ack=1 Win=65536 Len=40 TSval=1026255888 TSecr=1026254887"
"46","8.295207942","127.0.0.1","127.0.0.1","TCP","66","5001  >  51240 [ACK] Seq=1 Ack=241 Win=65536 Len=0 TSval=1026255888 TSecr=1026255888"
"47","9.295448649","127.0.0.1","127.0.0.1","TCP","106","51240  >  5001 [PSH, ACK] Seq=241 Ack=1 Win=65536 Len=40 TSval=1026256888 TSecr=1026255888"
"48","9.295477393","127.0.0.1","127.0.0.1","TCP","66","5001  >  51240 [ACK] Seq=1 Ack=281 Win=65536 Len=0 TSval=1026256888 TSecr=1026256888"
"49","10.295732481","127.0.0.1","127.0.0.1","TCP","106","51240  >  5001 [PSH, ACK] Seq=281 Ack=1 Win=65536 Len=40 TSval=1026257888 TSecr=1026256888"
"50","10.295753833","127.0.0.1","127.0.0.1","TCP","66","5001  >  51240 [ACK] Seq=1 Ack=321 Win=65536 Len=0 TSval=1026257888 TSecr=1026257888"
"51","11.296038418","127.0.0.1","127.0.0.1","TCP","106","51240  >  5001 [PSH, ACK] Seq=321 Ack=1 Win=65536 Len=40 TSval=1026258889 TSecr=1026257888"
"52","11.296063899","127.0.0.1","127.0.0.1","TCP","66","5001  >  51240 [ACK] Seq=1 Ack=361 Win=65536 Len=0 TSval=1026258889 TSecr=1026258889"
"53","12.296327006","127.0.0.1","127.0.0.1","TCP","106","51240  >  5001 [PSH, ACK] Seq=361 Ack=1 Win=65536 Len=40 TSval=1026259889 TSecr=1026258889"
"54","12.296350178","127.0.0.1","127.0.0.1","TCP","66","5001  >  51240 [ACK] Seq=1 Ack=401 Win=65536 Len=0 TSval=1026259889 TSecr=1026259889"
"55","13.296677451","127.0.0.1","127.0.0.1","TCP","106","51240  >  5001 [PSH, ACK] Seq=401 Ack=1 Win=65536 Len=40 TSval=1026260889 TSecr=1026259889"
"56","13.296701119","127.0.0.1","127.0.0.1","TCP","66","5001  >  51240 [ACK] Seq=1 Ack=441 Win=65536 Len=0 TSval=1026260889 TSecr=1026260889"
"62","14.296925826","127.0.0.1","127.0.0.1","TCP","106","51240  >  5001 [PSH, ACK] Seq=441 Ack=1 Win=65536 Len=40 TSval=1026261889 TSecr=1026260889"
"63","14.296965585","127.0.0.1","127.0.0.1","TCP","66","5001  >  51240 [ACK] Seq=1 Ack=481 Win=65536 Len=0 TSval=1026261889 TSecr=1026261889"
"64","15.297232183","127.0.0.1","127.0.0.1","TCP","106","51240  >  5001 [PSH, ACK] Seq=481 Ack=1 Win=65536 Len=40 TSval=1026262890 TSecr=1026261889"
"65","15.297261099","127.0.0.1","127.0.0.1","TCP","66","5001  >  51240 [ACK] Seq=1 Ack=521 Win=65536 Len=0 TSval=1026262890 TSecr=1026262890"
"66","16.297631657","127.0.0.1","127.0.0.1","TCP","106","51240  >  5001 [PSH, ACK] Seq=521 Ack=1 Win=65536 Len=40 TSval=1026263890 TSecr=1026262890"
"67","16.297655683","127.0.0.1","127.0.0.1","TCP","66","5001  >  51240 [ACK] Seq=1 Ack=561 Win=65536 Len=0 TSval=1026263890 TSecr=1026263890"
"68","17.297877832","127.0.0.1","127.0.0.1","TCP","106","51240  >  5001 [PSH, ACK] Seq=561 Ack=1 Win=65536 Len=40 TSval=1026264890 TSecr=1026263890"
"69","17.297910742","127.0.0.1","127.0.0.1","TCP","66","5001  >  51240 [ACK] Seq=1 Ack=601 Win=65536 Len=0 TSval=1026264890 TSecr=1026264890"
