"No.","Time","Source","Destination","Protocol","Length","Info"
"20","2.818940821","127.0.0.1","127.0.0.1","TCP","74","49988  >  5001 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=1023801593 TSecr=0 WS=128"
"21","2.818964960","127.0.0.1","127.0.0.1","TCP","74","5001  >  49988 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=1023801593 TSecr=1023801593 WS=128"
"22","2.818981645","127.0.0.1","127.0.0.1","TCP","66","49988  >  5001 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=1023801593 TSecr=1023801593"
"23","2.819050501","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=40 TSval=1023801593 TSecr=1023801593"
"24","2.819056297","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=41 Win=65536 Len=0 TSval=1023801593 TSecr=1023801593"
"25","3.819439904","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=41 Ack=1 Win=65536 Len=40 TSval=1023802594 TSecr=1023801593"
"26","3.819472390","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=81 Win=65536 Len=0 TSval=1023802594 TSecr=1023802594"
"29","4.819785666","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=81 Ack=1 Win=65536 Len=40 TSval=1023803594 TSecr=1023802594"
"30","4.819813208","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=121 Win=65536 Len=0 TSval=1023803594 TSecr=1023803594"
"33","5.820188860","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=121 Ack=1 Win=65536 Len=40 TSval=1023804594 TSecr=1023803594"
"34","5.820226531","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=161 Win=65536 Len=0 TSval=1023804594 TSecr=1023804594"
"35","6.820707803","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=161 Ack=1 Win=65536 Len=40 TSval=1023805595 TSecr=1023804594"
"36","6.820747687","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=201 Win=65536 Len=0 TSval=1023805595 TSecr=1023805595"
"37","7.821158607","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=201 Ack=1 Win=65536 Len=40 TSval=1023806595 TSecr=1023805595"
"38","7.821199544","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=241 Win=65536 Len=0 TSval=1023806595 TSecr=1023806595"
"39","8.821678281","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=241 Ack=1 Win=65536 Len=40 TSval=1023807596 TSecr=1023806595"
"40","8.821715900","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=281 Win=65536 Len=0 TSval=1023807596 TSecr=1023807596"
"41","9.822195204","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=281 Ack=1 Win=65536 Len=40 TSval=1023808596 TSecr=1023807596"
"42","9.822232618","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=321 Win=65536 Len=0 TSval=1023808596 TSecr=1023808596"
"43","10.822717213","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=321 Ack=1 Win=65536 Len=40 TSval=1023809597 TSecr=1023808596"
"44","10.822754503","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=361 Win=65536 Len=0 TSval=1023809597 TSecr=1023809597"
"45","11.823214029","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=361 Ack=1 Win=65536 Len=40 TSval=1023810597 TSecr=1023809597"
"46","11.823320452","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=401 Win=65536 Len=0 TSval=1023810598 TSecr=1023810597"
"47","12.823827093","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=401 Ack=1 Win=65536 Len=40 TSval=1023811598 TSecr=1023810598"
"48","12.823865165","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=441 Win=65536 Len=0 TSval=1023811598 TSecr=1023811598"
"49","13.824251734","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=441 Ack=1 Win=65536 Len=40 TSval=1023812598 TSecr=1023811598"
"50","13.824300402","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=481 Win=65536 Len=0 TSval=1023812598 TSecr=1023812598"
"51","14.824685045","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=481 Ack=1 Win=65536 Len=40 TSval=1023813599 TSecr=1023812598"
"52","14.824705894","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=521 Win=65536 Len=0 TSval=1023813599 TSecr=1023813599"
"53","15.825144859","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=521 Ack=1 Win=65536 Len=40 TSval=1023814599 TSecr=1023813599"
"54","15.825189290","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=561 Win=65536 Len=0 TSval=1023814599 TSecr=1023814599"
"55","16.825728249","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=561 Ack=1 Win=65536 Len=40 TSval=1023815600 TSecr=1023814599"
"56","16.825769048","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=601 Win=65536 Len=0 TSval=1023815600 TSecr=1023815600"
"57","17.826217536","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=601 Ack=1 Win=65536 Len=40 TSval=1023816600 TSecr=1023815600"
"58","17.826254668","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=641 Win=65536 Len=0 TSval=1023816600 TSecr=1023816600"
"59","18.826646256","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=641 Ack=1 Win=65536 Len=40 TSval=1023817601 TSecr=1023816600"
"60","18.826672396","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=681 Win=65536 Len=0 TSval=1023817601 TSecr=1023817601"
"61","19.827062477","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=681 Ack=1 Win=65536 Len=40 TSval=1023818601 TSecr=1023817601"
"62","19.827095032","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=721 Win=65536 Len=0 TSval=1023818601 TSecr=1023818601"
"63","20.827561551","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=721 Ack=1 Win=65536 Len=40 TSval=1023819602 TSecr=1023818601"
"64","20.827600283","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=761 Win=65536 Len=0 TSval=1023819602 TSecr=1023819602"
"65","21.828103422","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=761 Ack=1 Win=65536 Len=40 TSval=1023820602 TSecr=1023819602"
"66","21.828141576","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=801 Win=65536 Len=0 TSval=1023820602 TSecr=1023820602"
"67","22.828588784","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=801 Ack=1 Win=65536 Len=40 TSval=1023821603 TSecr=1023820602"
"68","22.828627732","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=841 Win=65536 Len=0 TSval=1023821603 TSecr=1023821603"
"69","23.828974600","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=841 Ack=1 Win=65536 Len=40 TSval=1023822603 TSecr=1023821603"
"70","23.828997293","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=881 Win=65536 Len=0 TSval=1023822603 TSecr=1023822603"
"71","24.829447232","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=881 Ack=1 Win=65536 Len=40 TSval=1023823604 TSecr=1023822603"
"72","24.829487597","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=921 Win=65536 Len=0 TSval=1023823604 TSecr=1023823604"
"73","25.829955450","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=921 Ack=1 Win=65536 Len=40 TSval=1023824604 TSecr=1023823604"
"74","25.829992937","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=961 Win=65536 Len=0 TSval=1023824604 TSecr=1023824604"
"75","26.830486648","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=961 Ack=1 Win=65536 Len=40 TSval=1023825605 TSecr=1023824604"
"76","26.830527931","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=1001 Win=65536 Len=0 TSval=1023825605 TSecr=1023825605"
"77","27.830975305","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=1001 Ack=1 Win=65536 Len=40 TSval=1023826605 TSecr=1023825605"
"78","27.831015232","127.0.0.1","127.0.0.1","TCP","66","5001  >  49988 [ACK] Seq=1 Ack=1041 Win=65536 Len=0 TSval=1023826605 TSecr=1023826605"
"79","28.831416821","127.0.0.1","127.0.0.1","TCP","106","49988  >  5001 [PSH, ACK] Seq=1041 Ack=1 Win=65536 Len=40 TSval=1023827606 TSecr=1023826605"
