frame.time_epoch,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,_ws.col.info
1741712934.203742997,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=40 TSval=2606061396 TSecr=4166020316
1741712935.204156671,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=41 Ack=1 Win=64256 Len=40 TSval=2606062397 TSecr=4166020316
1741712936.204687726,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=81 Ack=1 Win=64256 Len=40 TSval=2606063397 TSecr=4166021317
1741712937.205258906,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=121 Ack=1 Win=64256 Len=40 TSval=2606064398 TSecr=4166022317
1741712938.205831201,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=161 Ack=1 Win=64256 Len=40 TSval=2606065398 TSecr=4166023318
1741712939.206423241,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=201 Ack=1 Win=64256 Len=40 TSval=2606066399 TSecr=4166024318
1741712940.206982535,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=241 Ack=1 Win=64256 Len=40 TSval=2606067399 TSecr=4166025319
1741712941.207577300,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=281 Ack=1 Win=64256 Len=40 TSval=2606068400 TSecr=4166026320
1741712942.208148355,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=321 Ack=1 Win=64256 Len=40 TSval=2606069401 TSecr=4166027320
1741712943.208701155,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=361 Ack=1 Win=64256 Len=40 TSval=2606070401 TSecr=4166028321
1741712944.209172308,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=401 Ack=1 Win=64256 Len=40 TSval=2606071402 TSecr=4166029321
1741712945.209596342,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=441 Ack=1 Win=64256 Len=40 TSval=2606072402 TSecr=4166030322
1741712946.210062889,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=481 Ack=1 Win=64256 Len=40 TSval=2606073403 TSecr=4166031322
1741712947.210359036,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=521 Ack=1 Win=64256 Len=40 TSval=2606074403 TSecr=4166032323
1741712948.210646327,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=561 Ack=1 Win=64256 Len=40 TSval=2606075403 TSecr=4166033323
1741712949.210968583,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=601 Ack=1 Win=64256 Len=40 TSval=2606076403 TSecr=4166034323
1741712950.211272665,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=641 Ack=1 Win=64256 Len=40 TSval=2606077404 TSecr=4166035324
1741712951.211566133,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=681 Ack=1 Win=64256 Len=40 TSval=2606078404 TSecr=4166036324
1741712952.211865754,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=721 Ack=1 Win=64256 Len=40 TSval=2606079404 TSecr=4166037324
1741712953.212207190,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=761 Ack=1 Win=64256 Len=40 TSval=2606080405 TSecr=4166038324
1741712954.212554893,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=801 Ack=1 Win=64256 Len=40 TSval=2606081405 TSecr=4166039325
1741712955.212813466,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=841 Ack=1 Win=64256 Len=40 TSval=2606082405 TSecr=4166040325
1741712956.213403609,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=881 Ack=1 Win=64256 Len=40 TSval=2606083406 TSecr=4166041325
1741712957.213809073,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=921 Ack=1 Win=64256 Len=40 TSval=2606084406 TSecr=4166042326
1741712958.214024570,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=961 Ack=1 Win=64256 Len=40 TSval=2606085407 TSecr=4166043326
1741712959.214362414,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1001 Ack=1 Win=64256 Len=40 TSval=2606086407 TSecr=4166044327
1741712960.214788281,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1041 Ack=1 Win=64256 Len=40 TSval=2606087407 TSecr=4166045327
1741712961.215286688,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1081 Ack=1 Win=64256 Len=40 TSval=2606088408 TSecr=4166046327
1741712962.215656703,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1121 Ack=1 Win=64256 Len=40 TSval=2606089408 TSecr=4166047328
1741712963.216046385,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1161 Ack=1 Win=64256 Len=40 TSval=2606090409 TSecr=4166048328
1741712964.216365520,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1201 Ack=1 Win=64256 Len=40 TSval=2606091409 TSecr=4166049329
1741712965.216744908,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1241 Ack=1 Win=64256 Len=40 TSval=2606092409 TSecr=4166050329
1741712966.217122235,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1281 Ack=1 Win=64256 Len=40 TSval=2606093410 TSecr=4166051329
1741712967.217475046,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1321 Ack=1 Win=64256 Len=40 TSval=2606094410 TSecr=4166052330
1741712968.218252354,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1361 Ack=1 Win=64256 Len=40 TSval=2606095411 TSecr=4166053330
1741712969.218788191,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1401 Ack=1 Win=64256 Len=40 TSval=2606096411 TSecr=4166054331
1741712970.219523351,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1441 Ack=1 Win=64256 Len=40 TSval=2606097412 TSecr=4166055331
1741712971.219997920,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1481 Ack=1 Win=64256 Len=40 TSval=2606098412 TSecr=4166056332
1741712972.220353038,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1521 Ack=1 Win=64256 Len=40 TSval=2606099413 TSecr=4166057333
1741712973.220741620,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=1561 Ack=1 Win=64256 Len=40 TSval=2606100413 TSecr=4166058333
