"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","TCP","74","44994  >  5001 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM TSval=1025747088 TSecr=0 WS=128"
"2","0.000026973","127.0.0.1","127.0.0.1","TCP","74","5001  >  44994 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM TSval=1025747088 TSecr=1025747088 WS=128"
"3","0.000048351","127.0.0.1","127.0.0.1","TCP","66","44994  >  5001 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=1025747088 TSecr=1025747088"
"4","0.000144317","127.0.0.1","127.0.0.1","TCP","106","44994  >  5001 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=40 TSval=1025747088 TSecr=1025747088"
"5","0.000152760","127.0.0.1","127.0.0.1","TCP","66","5001  >  44994 [ACK] Seq=1 Ack=41 Win=65536 Len=0 TSval=1025747088 TSecr=1025747088"
"6","1.000452783","127.0.0.1","127.0.0.1","TCP","106","44994  >  5001 [PSH, ACK] Seq=41 Ack=1 Win=65536 Len=40 TSval=1025748088 TSecr=1025747088"
"7","1.000487904","127.0.0.1","127.0.0.1","TCP","66","5001  >  44994 [ACK] Seq=1 Ack=81 Win=65536 Len=0 TSval=1025748088 TSecr=1025748088"
"11","2.000756838","127.0.0.1","127.0.0.1","TCP","106","44994  >  5001 [PSH, ACK] Seq=81 Ack=1 Win=65536 Len=40 TSval=1025749088 TSecr=1025748088"
"12","2.000793115","127.0.0.1","127.0.0.1","TCP","66","5001  >  44994 [ACK] Seq=1 Ack=121 Win=65536 Len=0 TSval=1025749088 TSecr=1025749088"
"14","3.001165991","127.0.0.1","127.0.0.1","TCP","106","44994  >  5001 [PSH, ACK] Seq=121 Ack=1 Win=65536 Len=40 TSval=1025750089 TSecr=1025749088"
"15","3.001199542","127.0.0.1","127.0.0.1","TCP","66","5001  >  44994 [ACK] Seq=1 Ack=161 Win=65536 Len=0 TSval=1025750089 TSecr=1025750089"
"18","4.001488383","127.0.0.1","127.0.0.1","TCP","106","44994  >  5001 [PSH, ACK] Seq=161 Ack=1 Win=65536 Len=40 TSval=1025751089 TSecr=1025750089"
"19","4.001526710","127.0.0.1","127.0.0.1","TCP","66","5001  >  44994 [ACK] Seq=1 Ack=201 Win=65536 Len=0 TSval=1025751089 TSecr=1025751089"
"36","5.002015004","127.0.0.1","127.0.0.1","TCP","106","44994  >  5001 [PSH, ACK] Seq=201 Ack=1 Win=65536 Len=40 TSval=1025752090 TSecr=1025751089"
"37","5.002111037","127.0.0.1","127.0.0.1","TCP","66","5001  >  44994 [ACK] Seq=1 Ack=241 Win=65536 Len=0 TSval=1025752090 TSecr=1025752090"
"38","6.002598500","127.0.0.1","127.0.0.1","TCP","106","44994  >  5001 [PSH, ACK] Seq=241 Ack=1 Win=65536 Len=40 TSval=1025753090 TSecr=1025752090"
"39","6.002643123","127.0.0.1","127.0.0.1","TCP","66","5001  >  44994 [ACK] Seq=1 Ack=281 Win=65536 Len=0 TSval=1025753090 TSecr=1025753090"
"40","7.003084164","127.0.0.1","127.0.0.1","TCP","106","44994  >  5001 [PSH, ACK] Seq=281 Ack=1 Win=65536 Len=40 TSval=1025754091 TSecr=1025753090"
"41","7.003116512","127.0.0.1","127.0.0.1","TCP","66","5001  >  44994 [ACK] Seq=1 Ack=321 Win=65536 Len=0 TSval=1025754091 TSecr=1025754091"
"42","8.003559493","127.0.0.1","127.0.0.1","TCP","106","44994  >  5001 [PSH, ACK] Seq=321 Ack=1 Win=65536 Len=40 TSval=1025755091 TSecr=1025754091"
"43","8.003591472","127.0.0.1","127.0.0.1","TCP","66","5001  >  44994 [ACK] Seq=1 Ack=361 Win=65536 Len=0 TSval=1025755091 TSecr=1025755091"
"44","9.004004528","127.0.0.1","127.0.0.1","TCP","106","44994  >  5001 [PSH, ACK] Seq=361 Ack=1 Win=65536 Len=40 TSval=1025756092 TSecr=1025755091"
"45","9.004033023","127.0.0.1","127.0.0.1","TCP","66","5001  >  44994 [ACK] Seq=1 Ack=401 Win=65536 Len=0 TSval=1025756092 TSecr=1025756092"
"46","10.004449224","127.0.0.1","127.0.0.1","TCP","106","44994  >  5001 [PSH, ACK] Seq=401 Ack=1 Win=65536 Len=40 TSval=1025757092 TSecr=1025756092"
"47","10.004487240","127.0.0.1","127.0.0.1","TCP","66","5001  >  44994 [ACK] Seq=1 Ack=441 Win=65536 Len=0 TSval=1025757092 TSecr=1025757092"
"48","11.004892519","127.0.0.1","127.0.0.1","TCP","106","44994  >  5001 [PSH, ACK] Seq=441 Ack=1 Win=65536 Len=40 TSval=1025758092 TSecr=1025757092"
