frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags
"1741693358.116447000","57.144.177.32","192.168.86.193","443","33992","0x0018"
"1741693358.116499000","192.168.86.193","57.144.177.32","33992","443","0x0010"
"1741693358.238872000","192.168.86.193","57.144.177.32","33992","443","0x0018"
"1741693358.290045000","57.144.177.32","192.168.86.193","443","33992","0x0010"
"1741693360.597724000","192.168.86.193","142.250.183.99",,,
"1741693360.597812000","192.168.86.193","142.250.183.99",,,
"1741693360.598093000","192.168.86.193","142.250.183.99",,,
"1741693360.598442000","192.168.86.193","142.250.183.99",,,
"1741693360.680708000","142.250.183.99","192.168.86.193",,,
"1741693360.713936000","142.250.183.99","192.168.86.193",,,
"1741693360.764790000","192.168.86.193","142.250.183.99",,,
"1741693360.770258000","142.250.183.99","192.168.86.193",,,
"1741693360.770260000","142.250.183.99","192.168.86.193",,,
"1741693360.770261000","142.250.183.99","192.168.86.193",,,
"1741693360.770570000","142.250.183.99","192.168.86.193",,,
"1741693360.771490000","192.168.86.193","142.250.183.99",,,
"1741693360.771635000","192.168.86.193","142.250.183.99",,,
"1741693360.774142000","142.250.183.99","192.168.86.193",,,
"1741693360.799760000","192.168.86.193","142.250.183.99",,,
"1741693360.836812000","142.250.183.99","192.168.86.193",,,
"1741693360.836814000","142.250.183.99","192.168.86.193",,,
"1741693360.837372000","192.168.86.193","142.250.183.99",,,
"1741693360.840886000","192.168.86.193","192.168.86.88",,,
"1741693360.841124000","192.168.86.193","192.168.86.88",,,
"1741693360.850142000","142.250.183.99","192.168.86.193",,,
"1741693360.850387000","142.250.183.99","192.168.86.193",,,
"1741693360.850595000","192.168.86.193","142.250.183.99",,,
"1741693360.877528000","142.250.183.99","192.168.86.193",,,
"1741693360.884147000","192.168.86.88","192.168.86.193",,,
"1741693360.884234000","192.168.86.88","192.168.86.193",,,
"1741693360.886238000","192.168.86.193","142.250.184.195",,,
"1741693360.886299000","192.168.86.193","142.250.184.195",,,
"1741693361.391674000","142.250.184.195","192.168.86.193",,,
"1741693361.392696000","142.250.184.195","192.168.86.193",,,
"1741693361.392697000","142.250.184.195","192.168.86.193",,,
"1741693361.392698000","142.250.184.195","192.168.86.193",,,
"1741693361.392698000","142.250.184.195","192.168.86.193",,,
"1741693361.392699000","142.250.184.195","192.168.86.193",,,
"1741693361.393366000","192.168.86.193","142.250.184.195",,,
"1741693361.393781000","192.168.86.193","142.250.184.195",,,
"1741693361.399748000","192.168.86.193","142.250.184.195",,,
"1741693361.399992000","192.168.86.193","142.250.184.195",,,
"1741693361.400418000","192.168.86.193","142.250.184.195",,,
"1741693361.400443000","192.168.86.193","142.250.184.195",,,
"1741693361.904734000","142.250.184.195","192.168.86.193",,,
"1741693361.904735000","142.250.184.195","192.168.86.193",,,
"1741693361.904736000","142.250.184.195","192.168.86.193",,,
"1741693361.904736000","142.250.184.195","192.168.86.193",,,
"1741693361.904737000","142.250.184.195","192.168.86.193",,,
"1741693361.905215000","192.168.86.193","142.250.184.195",,,
"1741693361.905573000","192.168.86.193","142.250.184.195",,,
"1741693361.931909000","192.168.86.193","142.250.184.195",,,
"1741693362.416555000","142.250.184.195","192.168.86.193",,,
"1741693362.601942000","192.168.86.193","35.206.80.10","46118","443","0x0010"
"1741693362.928740000","35.206.80.10","192.168.86.193","443","46118","0x0010"
"1741693363.337761000","35.206.80.10","192.168.86.193","443","46118","0x0010"
"1741693363.337913000","192.168.86.193","35.206.80.10","46118","443","0x0010"
"1741693365.374149000","192.168.86.193","57.144.177.32","33992","443","0x0018"
"1741693365.432953000","57.144.177.32","192.168.86.193","443","33992","0x0010"
"1741693365.693018000","57.144.177.32","192.168.86.193","443","33992","0x0018"
"1741693365.693071000","192.168.86.193","57.144.177.32","33992","443","0x0010"
"1741693365.897460000","192.168.86.193","142.251.42.3",,,
"1741693365.897523000","192.168.86.193","142.251.42.3",,,
"1741693365.897890000","192.168.86.193","142.251.42.3",,,
"1741693365.898236000","192.168.86.193","142.251.42.3",,,
"1741693365.978226000","142.251.42.3","192.168.86.193",,,
"1741693365.993864000","142.251.42.3","192.168.86.193",,,
"1741693366.053112000","142.251.42.3","192.168.86.193",,,
"1741693366.053255000","142.251.42.3","192.168.86.193",,,
"1741693366.053255000","142.251.42.3","192.168.86.193",,,
"1741693366.053256000","142.251.42.3","192.168.86.193",,,
"1741693366.053256000","142.251.42.3","192.168.86.193",,,
"1741693366.054253000","192.168.86.193","142.251.42.3",,,
"1741693366.054402000","192.168.86.193","142.251.42.3",,,
"1741693366.079881000","192.168.86.193","142.251.42.3",,,
"1741693366.113478000","142.251.42.3","192.168.86.193",,,
"1741693366.139233000","192.168.86.193","142.251.42.3",,,
