frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags
"1741537376.346485000",,,,,
"1741537378.323255000","10.7.21.56","10.0.136.7",,,
"1741537378.323352000","10.7.21.56","10.0.136.7",,,
"1741537378.326527000","10.0.136.7","10.7.21.56",,,
"1741537378.333256000","10.7.21.56","142.250.192.10",,,
"1741537378.333284000","10.7.21.56","142.250.192.10",,,
"1741537378.335568000","10.7.21.56","142.250.192.10",,,
"1741537378.335776000","10.7.21.56","142.250.192.10",,,
"1741537378.346390000","142.250.192.10","10.7.21.56",,,
"1741537378.347039000","142.250.192.10","10.7.21.56",,,
"1741537378.360197000","10.7.21.56","142.250.192.10",,,
"1741537378.383348000","142.250.192.10","10.7.21.56",,,
"1741537378.407617000","10.7.21.56","142.250.192.10",,,
"1741537378.417093000","142.250.192.10","10.7.21.56",,,
"1741537378.417094000","142.250.192.10","10.7.21.56",,,
"1741537378.417619000","10.7.21.56","142.250.192.10",,,
"1741537378.417682000","142.250.192.10","10.7.21.56",,,
"1741537378.417744000","10.7.21.56","142.250.192.10",,,
"1741537378.418933000","142.250.192.10","10.7.21.56",,,
"1741537378.420307000","142.250.192.10","10.7.21.56",,,
"1741537378.420307000","142.250.192.10","10.7.21.56",,,
"1741537378.420321000","10.0.136.7","10.7.21.56",,,
"1741537378.420496000","10.7.21.56","142.250.192.10",,,
"1741537378.426764000","142.250.192.10","10.7.21.56",,,
"1741537378.429220000","142.250.192.10","10.7.21.56",,,
"1741537378.429339000","10.7.21.56","142.250.192.10",,,
"1741537378.495431000","142.250.192.10","10.7.21.56",,,
"1741537378.495564000","10.7.21.56","142.250.192.10",,,
"1741537378.499115000","142.250.192.10","10.7.21.56",,,
"1741537378.499115000","142.250.192.10","10.7.21.56",,,
"1741537378.499115000","142.250.192.10","10.7.21.56",,,
"1741537378.499116000","142.250.192.10","10.7.21.56",,,
"1741537378.499116000","142.250.192.10","10.7.21.56",,,
"1741537378.499117000","142.250.192.10","10.7.21.56",,,
"1741537378.499117000","142.250.192.10","10.7.21.56",,,
"1741537378.499117000","142.250.192.10","10.7.21.56",,,
"1741537378.499131000","142.250.192.10","10.7.21.56",,,
"1741537378.499132000","142.250.192.10","10.7.21.56",,,
"1741537378.499199000","10.7.21.56","142.250.192.10",,,
"1741537378.499230000","10.7.21.56","142.250.192.10",,,
"1741537378.499322000","10.7.21.56","142.250.192.10",,,
"1741537378.499355000","10.7.21.56","142.250.192.10",,,
"1741537378.499386000","10.7.21.56","142.250.192.10",,,
"1741537378.499420000","10.7.21.56","142.250.192.10",,,
"1741537378.506404000","142.250.192.10","10.7.21.56",,,
"1741537385.180076000","10.7.21.56","172.64.155.209","57602","443","0x0010"
"1741537385.182284000","172.64.155.209","10.7.21.56","443","57602","0x0010"
"1741537385.280361000",,,,,
"1741537385.280365000",,,,,
